建设用地规划许可证信息,4757,542,市城乡规划局,每日,2018-02-01, 资质认定  数据公开 ,建设用地规划许可证是城乡规划主管部门依法审核，建设用地符合城乡规划要求的法律凭证。
项目基本信息表,208,117,市发展和改革局,每月,2018-02-01, 数据公开 ,None
项目建议书批复意见,146,7,市发展和改革局,每季度,2018-02-01, 数据公开 ,None
注销登记信息,122,69,市工商行政管理局,实时,2018-02-01, 数据公开 ,None
年检信息,79,25,市工商行政管理局,实时,2018-02-01, 数据公开 ,None
股权出质信息_股权出质注销信息,68,14,市工商行政管理局,不提供,2018-01-31, 数据公开 ,None
道路运输企业行政许可,199,270,市交通运输局,不提供,2018-01-31, 数据公开 ,None
生产经营单位安全事故应急预案备案,171,154,市安全生产监督管理局,每日,2018-01-31, 数据公开 ,None
拍卖企业信息,1202,24,市商务局,每周,2018-01-31, 数据公开  资质认定 ,None
学前教育机构设立、变更、终止审批（公办）,172,77,市教育局,每月,2018-01-31, 数据公开 ,None
公办（集体办）幼儿园基本信息,3552,289,市教育局,每季度,2018-01-31, 事业单位  资质认定  数据公开 ,关于东莞市公办（集体办）幼儿园情况的信息。
行政执法机构处罚信息,1339,123,市城市综合管理局,每季度,2018-01-31, 数据公开 ,我局综合执法方面各类违法案件的行政处罚，行政强制职责，依法查处重大或跨镇（街）松山湖、生态园城市管理方面案件。
行政执法个人处罚信息,243,12,市城市综合管理局,每季度,2018-01-31, 数据公开 ,我局综合执法方面各类违法案件的行政处罚，行政强制职责，依法查处重大或跨镇（街）松山湖、生态园城市管理方面案件。
变更歌舞娱乐场所娱乐经营许可证信息,189,46,市文化广电新闻出版局,每月,2018-01-31, 数据公开 ,None
设立歌舞娱乐场所娱乐经营许可证信息,2065,1259,市文化广电新闻出版局,每月,2018-01-31, 资质认定  数据公开 ,None
涉外及涉港澳台营业性演出活动的核准（备案）,1736,668,市文化广电新闻出版局,每月,2018-01-31, 资质认定  数据公开 ,None
烟花爆竹经营（零售）许可证,1127,269,市安全生产监督管理局,每周,2018-01-31, 资质认定  数据公开 ,None
涉企信息_抽查检查信息,92,12,市工商行政管理局,不提供,2018-01-31, 数据公开 ,None
卫生信誉度A级单位,120,0,市卫生和计划生育局,实时,2018-01-31, 数据公开 ,None
主要江河水质状况,100,249,市环境保护局,每月,2018-01-31, 数据公开 ,None
国土资源行政处罚信息,212,302,市国土资源局,每周,2018-01-31, 数据公开 ,None
学前教育机构设立、变更、终止审批（民办）,65,150,市教育局,每周,2018-01-31, 数据公开 ,None
从事城市生活垃圾经营性清扫、收集、运输服务审批信息,973,593,市城市综合管理局,每年,2018-01-31, 资质认定  数据公开 ,此项数据只攘括企业注册地为东莞的环卫企业从事城市生活垃圾经营性服务许可证的信息
动物防疫条件合格证核发,1119,1563,市农业局,每月,2018-01-31, 资质认定  数据公开 ,None
投资项目核准信息,1259,25,市发展和改革局,每周,2018-01-31, 资质认定  数据公开 ,None
开发建设项目水土保持方案审批,1425,155,市水务局,每季度,2018-01-31, 资质认定  数据公开 ,None
建设工程规划条件核实合格通知书,144,220,市城乡规划局,每日,2018-01-30, 数据公开 ,None
危险化学品经营许可证审批-行政许可变更信息,156,91,市安全生产监督管理局,每周,2018-01-30, 数据公开 ,None
种畜禽生产经营许可证信息,1463,461,市农业局,每月,2018-01-30, 资质认定  数据公开 ,None
动物诊疗许可证核发,1547,1917,市农业局,每月,2018-01-30, 资质认定  数据公开 ,None
执业兽医师、执业助理兽医师执业证注册,1277,569,市农业局,每月,2018-01-30, 农业从业人员  数据公开 ,None
变更互联网上网服务营业场所（网吧）审批许可信息,223,46,市文化广电新闻出版局,每月,2018-01-30, 数据公开 ,None
设立互联网上网服务营业场所（网吧）审批许可信息,1033,1160,市文化广电新闻出版局,每月,2018-01-30, 资质认定  数据公开 ,None
设立艺术品经营单位备案信息,1412,316,市文化广电新闻出版局,每月,2018-01-30, 资质认定  数据公开 ,None
律师事务所信息,1040,70,市司法局,每周,2018-01-30, 资质认定  数据公开 ,律师事务所信息
律师信息,437,28,市司法局,每周,2018-01-30, 法律服务人员  数据公开 ,律师信息
报检企业备案登记信息,1503,252,东莞出入境检验检疫局,每月,2018-01-30, 资质认定  数据公开 ,None
渔业船舶及船用产品检验与发证,83,200,市海洋与渔业局,每周,2018-01-30, 数据公开 ,None
占用、挖掘公路审批,68,200,市公路管理局,每周,2018-01-30, 数据公开 ,None
股权出质信息_股权出质变更信息,58,11,市工商行政管理局,不提供,2018-01-29, 数据公开 ,None
安全生产行政处罚,133,300,市安全生产监督管理局,每日,2018-01-29, 数据公开 ,None
变更游艺娱乐场所娱乐经营许可证信息,101,28,市文化广电新闻出版局,每月,2018-01-29, 数据公开 ,None
设立游艺娱乐场所娱乐经营许可证信息,2141,795,市文化广电新闻出版局,每月,2018-01-29, 资质认定  数据公开 ,None
特种设备使用变更信息,31,9,市质量技术监督局,每周,2018-01-29, 数据公开 ,None
特种设备使用登记,191,302,市质量技术监督局,每周,2018-01-29, 数据公开 ,None
行政处罚信息,1223,226,市农业局,每月,2018-01-29, 数据公开 ,None
占用、挖掘城市道路审批信息,219,187,东莞市城市综合管理局,每月,2018-01-29, 数据公开 ,占用、挖掘城市道路的许可
交通行政处罚案件信息,2305,772,市交通运输局,每月,2018-01-29, 数据公开 ,None
普通货物运输车辆信息,1181,444,市交通运输局,每月,2018-01-28, 资质认定  数据公开 ,None
事业单位法人设立登记,2488,239,市机构编制委员会办公室,每周,2018-01-27, 事业单位  资质认定  数据公开 ,None
（涉企）（双公示）水利工程初步设计文件审批,1258,99,市水务局,每季度,2018-01-27, 资质认定  数据公开 ,None
机动车维修业户信息,1690,284,市交通运输局,每年,2018-01-27, 道路运输从业人员  资质认定  数据公开 ,None
建筑工程施工许可证（燃气类）核发信息,2324,2011,市城市综合管理局,每月,2018-01-27, 资质认定  数据公开 ,此项数据是指在东莞市范围内建设的燃气工程经主管部门审批通过后，颁发施工许可证的信息
防雷装置竣工验收核准（新）,1359,1752,市气象局,每月,2018-01-27, 资质认定  数据公开 ,None
排污许可证核发（双公示）（涉企）,153,401,市环境保护局,每月,2018-01-26, 数据公开 ,None
(涉企）（双公示）生产建设项目水土保持方案审批,215,58,市水务局,每月,2018-01-26, 数据公开 ,None
船舶进出渔港签证,90,130,市海洋与渔业局,每周,2018-01-26, 数据公开 ,None
渔业船舶登记,124,200,市海洋与渔业局,每周,2018-01-26, 数据公开 ,None
主要跨市河流交接断面水质状况,80,91,市环境保护局,每月,2018-01-26, 数据公开 ,None
水利工程管理和保护范围内新建、扩建、改建的工程建设项目方案审批和从事生产经营活动审批,210,6,市水务局,每季度,2018-01-26, 数据公开 ,None
事业单位法人变更登记,657,212,市机构编制委员会办公室,每周,2018-01-26, 事业单位  数据公开 ,None
涉企信息_行政处罚变更信息,70,8,市工商行政管理局,不提供,2018-01-25, 数据公开 ,None
客运企业业户信息（省市际班车、包车）,145,14,市交通运输局,每年,2018-01-25, 数据公开 ,None
汽车客运站信息,52,12,市交通运输局,每年,2018-01-25, 数据公开 ,None
城市建筑垃圾准运审批信息,1889,682,市城市综合管理局,每月,2018-01-25, 资质认定  数据公开 ,此项数据是指在东莞市范围内，用轻型自卸货车（载重量在1.5吨的货车）和重型自卸货车（载重量在10-12吨的货车）运输余泥渣土准运的审批信息（城市建筑垃圾处置核准
本地环保公司名录,574,119,市环境保护局,每季度,2018-01-25, 资质认定  数据公开 ,None
非正常户信息,133,7,市国家税务局,每季度,2018-01-25, 数据公开 ,非正常户业务产生的信息
建设项目环境保护设施验收（双公示）,166,240,市环境保护局,每月,2018-01-25, 数据公开 ,None
义务教育阶段学校设立、变更、终止审批（民办学校）,159,209,市教育局,每周,2018-01-24, 数据公开 ,None
放射诊疗许可,1413,1811,市卫生和计划生育局,每月,2018-01-24, 数据公开  资质认定 ,None
燃气供应设施许可标识信息,2169,204,市城市综合管理局,每半年,2018-01-24, 资质认定  数据公开 ,此项数据是在东莞市范围内使用燃气供应设施前，经过审批颁发许可标识的信息
行政处罚决定,1446,644,市环境保护局,每月,2018-01-23, 数据公开 ,None
机动车驾驶员培训机构教练车信息,135,28,市交通运输局,每月,2018-01-23, 数据公开 ,None
旅行社业务经营许可证信息,281,5,市旅游局,实时,2018-01-23, 资质认定  数据公开 ,东莞市市内范围具有国内旅游组团资格的企业信息
依附于城市道路建设各种管线、杆线等设施审批信息,91,7,市城市综合管理局,每半年,2018-01-23, 数据公开 ,None
行政许可信息,163,0,东莞出入境检验检疫局,实时,2018-01-22, 数据公开 ,None
港口经营许可证,354,47,市交通运输局,每周,2018-01-22, 资质认定  数据公开 ,None
外国人、台港澳人员就业许可证（核发、新办、延期、变更、补发、注销）,179,92,市人力资源局,不提供,2018-01-20, 数据公开 ,None
实行不定时工作制和综合计算工时工作制审批,223,110,市人力资源局,每月,2018-01-20, 数据公开 ,None
旅游企业抽查检查信息,88,0,市旅游局,实时,2018-01-19, 数据公开 ,None
危险化学品（剧毒）使用单位安全平评价报告备案,121,11,市安全生产监督管理局,每日,2018-01-19, 数据公开 ,None
非药品类易制毒化学品备案,283,5,市安全生产监督管理局,每日,2018-01-19, 数据公开 ,None
经营高危险性体育项目许可（新申领）,1568,1029,市体育局,每月,2018-01-19, 资质认定  数据公开 ,东莞市体育局权限范围内审批的高危险性体育项目经营企业相关情况
人力资源服务机构许可变更信息,161,46,市人力资源局,每日,2018-01-19, 数据公开 ,依据
民办职业技能培训机构许可证信息,3868,1719,市人力资源局,每月,2018-01-19, 民办非企业  资质认定  数据公开 ,None
劳务派遣许可变更信息,126,0,市人力资源局,每日,2018-01-19, 数据公开 ,None
劳务派遣行政许可证发证登记信息,1429,880,市人力资源局,不提供,2018-01-19, 资质认定  数据公开 ,None
劳务派遣经营情况报告,166,5,市人力资源局,每年,2018-01-19, 数据公开 ,依据
市属职业技能鉴定所（站）设立审批,50,26,市人力资源局,每月,2018-01-19, 数据公开 ,None
国内水路运输企业开业（含扩大经营范围和个体户开业）,55,48,市交通运输局,每周,2018-01-19, 数据公开 ,None
印刷经营许可证信息,699,1810,市文化广电新闻出版局,每月,2018-01-19, 资质认定  数据公开 ,《印刷经营许可证》按经营范围分类可分为三类
出版物经营许可证信息,1169,1788,市文化广电新闻出版局,每月,2018-01-19, 资质认定  数据公开 ,《出版物经营许可证》按照经营范围主要分为出版物零售、批发、连锁三类。
华侨回国定居审批,60,0,市外事侨务局（港澳事务局）,实时,2018-01-19, 数据公开 ,None
行政处罚信息公告,1665,56,市公安消防局,每季度,2018-01-19, 数据公开 ,None
气瓶、移动式压力容器充装单位许可,88,9,市质量技术监督局,每周,2018-01-19, 数据公开 ,None
新建、改建、扩建危险化学品生产、储存装置和设施的建设项目安全许可（包括安全条件审查、安全设施设计审查）,1271,146,市安全生产监督管理局,每周,2018-01-19, 资质认定  数据公开 ,None
季度排污费征收情况,108,16,市环境保护局,每季度,2018-01-19, 数据公开 ,None
行政强制执行信息,189,20,市住房公积金管理中心,每周,2018-01-18, 数据公开 ,None
责令限期改正违法行为信息,201,20,市住房公积金管理中心,每周,2018-01-18, 数据公开 ,None
燃气经营许可证核发信息,1309,470,市城市综合管理局,每季度,2018-01-18, 资质认定  数据公开 ,此项数据只攘括企业注册地为东莞的燃气经营企业经营许可证信息
危险化学品安全生产许可证,1036,164,市安全生产监督管理局,每周,2018-01-18, 资质认定  数据公开 ,None
融资性担保机构信息,7,0,市金融工作局,每日,2018-01-18, 数据公开 ,None
设立营业性文艺表演团体营业许可信息,901,515,市文化广电新闻出版局,每月,2018-01-18, 资质认定  数据公开 ,None
在公路用地范围设置非公路标志审批,63,200,市公路管理局,每周,2018-01-18, 数据公开 ,None
可行性研究报告审批信息,183,14,市发展和改革局,每季度,2018-01-18, 数据公开 ,None
（涉企）水务工程参建企业不良行为信用扣分信息,145,24,市水务局,每月,2018-01-17, 数据公开 ,20170603根据涉企信息报送要求制备
（涉企）水务工程参建企业良好行为信用加分信息,160,37,市水务局,每月,2018-01-17, 数据公开 ,20170603根据涉企信息报送要求制备
行政处罚信息,71,124,市社会保障局,每月,2018-01-17, 数据公开 ,None
劳务派遣经营异常名录企业信息,59,4,市人力资源局,每季度,2018-01-17, 信用警示  数据公开 ,None
劳务派遣黑名单企业信息,135,6,市人力资源局,每季度,2018-01-17, 黑榜  数据公开 ,依据
设立演出经纪机构许可信息,1427,685,市文化广电新闻出版局,每月,2018-01-17, 资质认定  数据公开 ,None
导游证核准,71,2,市旅游局,每半年,2018-01-17, 数据公开 ,None
兽药经营许可证信息,1002,1602,市农业局,每月,2018-01-17, 资质认定  数据公开 ,None
水域滩涂养殖证的审核,955,55,市海洋与渔业局,每周,2018-01-17, 资质认定  数据公开 ,None
项目概算审批信息,219,7,市发展和改革局,每季度,2018-01-17, 数据公开 ,None
占用城市绿地和砍伐、迁移城市树木审批,1046,95,市城市综合管理局,每半年,2018-01-16, 资质认定  数据公开 ,此项数据只攘括市城管局直管项目和市区范围内的审批信息
守合同重信用企业信息,73,34,市工商行政管理局,每年,2018-01-16, 数据公开 ,广东省守合同重信用企业公示活动
东莞市专利奖励申报,506,94,市科学技术局(市知识产权局),每年,2018-01-16, 红榜  数据公开 ,None
东莞市专利奖励信息,71,15,市科学技术局(市知识产权局),每年,2018-01-15, 红榜  数据公开 ,None
行政处罚信息,235,8,市烟草专卖局,每周,2018-01-15, 数据公开 ,None
变更烟草专卖零售许可证登记信息,2042,1786,市烟草专卖局,每月,2018-01-15, 资质认定  数据公开 ,None
新办烟草专卖零售许可证登记信息,1665,1839,市烟草专卖局,每月,2018-01-15, 资质认定  数据公开 ,None
延续烟草专卖零售许可证,1846,1846,市烟草专卖局,每月,2018-01-15, 数据公开  资质认定 ,None
歇业烟草专卖零售许可证,2108,1750,市烟草专卖局,每月,2018-01-15, 资质认定  数据公开 ,None
注销烟草专卖零售许可证,1965,1744,市烟草专卖局,每月,2018-01-15, 资质认定  数据公开 ,None
行政处罚信息,77,0,市食品药品监督管理局,每季度,2018-01-15, 数据公开 ,行政处罚
内地营业性演出变更核准信息,54,6,市文化广电新闻出版局,每月,2018-01-15, 数据公开 ,None
内地营业性演出核准信息,973,969,市文化广电新闻出版局,每月,2018-01-15, 资质认定  数据公开 ,None
专利质押信息,17,2,市科学技术局(市知识产权局),每年,2018-01-15, 数据公开 ,None
《企业知识产权管理规范》认证信息,62,14,市科学技术局(市知识产权局),每年,2018-01-15, 数据公开 ,None
文化市场行政处罚信息,803,347,市文化市场综合执法大队,每月,2018-01-15, 数据公开 ,行政处罚决定书
信用良好等级信息（检验检疫信用AA级、A级企业）,184,58,东莞出入境检验检疫局,每月,2018-01-15, 红榜  数据公开 ,None
信用不良登记信息（检验检疫信用C、D级企业）,15,1,东莞出入境检验检疫局,每年,2018-01-14, 数据公开 ,None
城市建筑垃圾排放审批信息,1570,843,市城市综合管理局,每月,2018-01-14, 资质认定  数据公开 ,此项数据是指在东莞市范围内，城市建筑垃圾排放的审批信息（城市建筑垃圾处置核准
国家万家企业节能考核结果信息,190,24,市经济和信息化局,每年,2018-01-13, 数据公开 ,国家万家企业节能考核结果信息
企业票据违法信息,71,3,中国人民银行东莞中心支行,每季度,2018-01-13, 数据公开 ,None
行政处罚信息,13,0,市邮政管理局,每日,2018-01-12, 数据公开 ,None
消防监督检查信息公告,178,69,市公安消防局,每月,2018-01-12, 数据公开 ,None
城市建筑垃圾受纳审批信息,933,201,市城市综合管理局,每月,2018-01-11, 资质认定  数据公开 ,此项数据是指在东莞市范围内，城市建筑垃圾受纳场地的审批信息
渔业船舶船员证书核发,53,30,市海洋与渔业局,每周,2018-01-11, 数据公开 ,None
经营异常名录（涉企）,77,4,市环境保护局,每月,2018-01-11, 信用警示  数据公开 ,None
分支机构备案登记信息,106,10,市邮政管理局,每日,2018-01-11, 数据公开 ,None
快递业务经营许可信息,122,11,市邮政管理局,每日,2018-01-11, 数据公开 ,None
燃气燃烧器具安装、维修企业资质许可信息,389,107,市城市综合管理局,每年,2018-01-11, 资质认定  数据公开 ,在东莞市范围内，从事燃气燃烧器具安装、维修服务，首先需获得东莞市从事综合管理局颁发的许可证，许可证上有企业资质核准信息。
公办（集体办）幼儿园年度检查未被评为“合格”信息,5711,103,市教育局,每年,2018-01-11, 事业单位  信用警示  数据公开 ,公办（集体办）幼儿园年度检查未被评为“合格”信息
双随机检查结果公开信息,34,6,市公安局,不提供,2018-01-10, 数据公开 ,None
旅行社业务经营许可证变更备案,106,46,市旅游局,每周,2018-01-10, 数据公开 ,None
应建或易地修建防空地下室的民用建筑项目许可信息,154,150,市人民防空办公室,每月,2018-01-10, 数据公开 ,建设单位完成人防审批手续后市人防办核发的审批意见书。
人民防空工程专项竣工验收备案信息,3373,1592,市人民防空办公室,每月,2018-01-10, 数据公开  资质认定 ,人防工程竣工验收合格且备案资料齐全后市人防办核发的备案手续。
水生野生保护动物利用审批,74,200,市海洋与渔业局,每周,2018-01-09, 数据公开 ,None
行政处罚信息,2072,19,东莞出入境检验检疫局,每季度,2018-01-08, 数据公开 ,None
旅游机构处罚信息,95,0,市旅游局,实时,2018-01-05, 数据公开 ,None
排污许可证核发变更信息（涉企）,86,24,市环境保护局,每月,2018-01-05, 数据公开 ,None
互联网上网服务营业场所网络安全管理软件安装证,805,214,市公安局,每半年,2018-01-05, 资质认定  数据公开 ,None
抽查检查信息,160,22,市烟草专卖局,每日,2018-01-05, 数据公开 ,None
企业环境信用评价（环保诚信企业）（涉企）,34,4,市环境保护局,每年,2018-01-04, 数据公开 ,None
企业环境信用评价（环保不良企业）（涉企）,23,4,市环境保护局,每年,2018-01-04, 数据公开 ,None
空气质量信息月报,66,89,市环境保护局,每月,2018-01-04, 数据公开 ,None
责令改正违法行为决定,1650,491,市环境保护局,每月,2018-01-04, 数据公开 ,None
人力资源库企业诚信“黑榜”,1773,519,劳动监察支队,每月,2018-01-03, 黑榜  数据公开 ,None
劳务派遣分公司备案登记信息,134,0,市人力资源局,每日,2018-01-03, 数据公开 ,依据
改变绿化规划、绿化用地的使用性质审批信息,1143,59,市城市综合管理局,每半年,2018-01-03, 资质认定  数据公开 ,此项数据只攘括市城管局直管项目和市区范围内的审批信息
快递企业分公司备案变更信息,28,0,市邮政管理局,每日,2018-01-03, 数据公开 ,None
融资性担保机构抽查检查信息,97,1,市金融工作局,每半年,2018-01-03, 数据公开 ,None
快递业务经营许可变更信息,119,11,市邮政管理局,每日,2018-01-03, 数据公开 ,None
行政处罚信息,112,10,市人民防空办公室,每年,2018-01-03, 数据公开 ,None
修建跨河建筑物,85,0,东莞航道局,每日,2018-01-02, 数据公开 ,一、在通航水域修建下列设施，必须符合国家规定的通航标准和航道发展规划，建设单位和个人应征得航道部门同意后，方可办理其他报批、报建手续； （一）修建拦河闸坝、水电站； 　 （二）修建和设置码头、驳岸、护坡、船坞、滑道、涵洞、排污日。抽水站、护岸矶头、渡口、锚地、趸船； 　 （三）修建桥梁、栈桥、隧道、渡槽以及埋设或架设缆线、管道； 　 （四）修建其他拦河、临河、跨（过）河建筑物或设施。 二、（一）下列事项由管辖该通航水域的水系（区域）航道局提出初审意见报送省航道局，由省航道局审批
通航水域进行水上水下施工作业许可,178,200,东莞航道局,每日,2018-01-02, 数据公开 ,施工单位在通航水域修建拦河、临河、跨（过）河建筑物，或进行疏浚、爆破、打捞、挖泥、打桩等施工作业，需到航道部门办理该行政审批。
事业单位法人注销登记,1817,50,市机构编制委员会办公室,每周,2018-01-02, 事业单位  数据公开 ,None
企业产品标准备案,42,6,市质量技术监督局,每周,2018-01-02, 数据公开 ,None
广东省东莞市名牌产品（农业类）信息,1585,290,市农业局,每年,2018-01-02, 红榜  资质认定  数据公开 ,None
东莞市无公害农产品、绿色食品、有机产品、地理标志认证信息,497,159,市农业局,每年,2018-01-02, 资质认定  数据公开 ,None
东莞市农业龙头企业信息,2096,190,市农业局,每年,2018-01-02, 资质认定  数据公开 ,None
