机动车连续2个周期未检验清单,道路交通,年度,机动车、未检验,中山全市,2017-12-29,2017-12-29,162,119,完全开放
中山市交通行政处罚案件信息,道路交通,年度,交通、行政处罚、信息,中山全市,2017-12-29,2017-12-29,20,107,完全开放
中山市环境保护大检查环境违法行为立案查处及整改清单,资源环境,年度,环境保护、检查、违法行为、整改清单,中山全市,2017-12-29,2017-12-29,18,156,完全开放
中山市道路运输车辆逾期未年审（危险货运车辆明细表）,道路交通,不定时更新,道路运输车辆、逾期、年审,中山全市,2017-12-29,2017-12-29,9,79,完全开放
中山市道路运输车辆逾期未年审（客运班车车辆明细表）,道路交通,不定时更新,道路运输车辆、逾期、年审,中山全市,2017-12-29,2017-12-29,11,51,完全开放
中山市环境保护大检查之中山市环境违法违规建设项目整治情况表,资源环境,年度,环境保护、检查、违法违规、建设项目、整治,中山全市,2017-12-29,2017-12-29,20,142,完全开放
中山市提前淘汰营运黄标车车辆信息及奖励金额,公共安全,不定时更新,淘汰、黄标车、信息、奖励金额,中山全市,2017-12-29,2017-12-29,20,71,完全开放
中山市提前淘汰黄标车车辆信息及奖励金额,公共安全,不定时更新,淘汰、黄标车、信息、奖励金额,中山全市,2017-12-29,2017-12-29,11,72,完全开放
中山市药品零售企业信用等级评定结果,公共安全,季度,药品、零售企业、信用等级、评定,中山全市,2017-12-29,2017-12-29,12,68,完全开放
强制检定工作计量器具检定结果情况表,公共安全,年度,工作计量器具、检定,中山全市,2017-12-29,2017-12-29,16,140,完全开放
机动车临界报废清单,道路交通,年度,机动车、临界、报废、清单,中山全市,2017-12-29,2017-12-29,23,65,完全开放
机动车逾期检验临界报废,道路交通,年度,机动车、逾期、检验、临界、报废,中山全市,2017-12-29,2017-12-29,44,62,完全开放
中山市污染源环境保护分级名录,资源环境,年度,污染源、环境保护,中山全市,2017-12-29,2017-12-29,20,144,完全开放
安全生产许可证,城市建设,月度,城乡建设、建筑施工、安全生产,全省,2017-12-28,2017-12-28,39,341,完全开放
中华人民共和国房地产开发企业资质证书,城市建设,月度,城乡建设、资质、房地产开发,全省,2017-12-28,2017-12-28,33,332,完全开放
工程勘察资质证书,城市建设,月度,城乡建设、资质、工程勘察,全省,2017-12-28,2017-12-28,28,326,完全开放
工程设计资质证书,城市建设,月度,城乡建设、资质、工程设计,全省,2017-12-28,2017-12-28,27,319,完全开放
建筑业企业资质证书,城市建设,月度,城乡建设、资质、建筑业、施工,全省,2017-12-28,2017-12-28,49,342,完全开放
广东省公证员信息,机构团体,不定时更新,公证员,全省,2017-12-28,2017-12-28,0,93,完全开放
广东省优秀学生（中学阶段）名单,教育科技,年度,优秀学生、中学阶段,全省,2017-12-28,2017-12-29,18,131,完全开放
河源市社会组织名单,机构团体,年度,社会组织.名单,河源全市,2017-12-28,2017-12-28,14,72,完全开放
学校基本信息,教育科技,年度,学校名称、机构地址、联系电话、学校性质,全省,2017-12-28,2017-12-29,62,162,完全开放
物业企业信息,经济建设,不定时更新,物业，企业,惠州市全市,2017-12-28,2017-12-29,11,128,完全开放
工商开业登记信息,经济建设,不定时更新,工商.开业,惠州全市,2017-12-28,2017-12-29,24,150,完全开放
社会团体年检信息,机构团体,不定时更新,社会团体,惠州市全市,2017-12-28,2017-12-29,9,42,完全开放
重合同守信用企业信息,经济建设,不定时更新,重合同守,惠州市全市,2017-12-28,2017-12-29,7,69,完全开放
农产品生产企业信用等级信息,卫生健康,不定时更新,农产品生产,惠州市全市,2017-12-28,2018-01-03,7,99,完全开放
安监企业信息,公共安全,不定时更新,安监企业,惠州市全市,2017-12-28,2018-01-03,13,119,完全开放
移动式压力容器、气瓶充装单位许可,公共安全,不定时更新,压力容器,惠州市全市,2017-12-28,2018-01-03,7,111,完全开放
水产品质量安全信息,公共安全,不定时更新,水产品.质量安全,惠州市全市,2017-12-28,2017-12-29,10,128,完全开放
特种设备使用登记信息,公共安全,不定时更新,特种设备，使用登记,惠州市全市,2017-12-28,2017-12-29,12,133,完全开放
安监证照信息,公共安全,不定时更新,安监，证照,惠州市全市,2017-12-28,2017-12-29,12,124,完全开放
惠州市个体工商户设立登记(变更登记)信息数据,经济建设,不定时更新,个体工商户.设立登记,惠州全市,2017-12-28,2017-12-29,15,133,完全开放
燃气燃烧器具安装维修许可证,民生服务,月度,燃气.燃烧.器具.安装维修.许可证,深圳全市,2017-12-26,2017-12-26,19,123,完全开放
燃气经营许可证,资源环境,月度,燃气.经营.许可证,深圳全市,2017-12-26,2017-12-26,26,177,完全开放
深圳市危险废物跨市转移许可批复,资源环境,月度,危险废物.跨市转移.许可批复,深圳全市,2017-12-26,2017-12-26,27,171,完全开放
广东省污染物排放许可证,资源环境,月度,广东省.污染物.排放许可证,深圳全市,2017-12-26,2017-12-26,38,179,完全开放
深圳市捐助中心捐款接收信息,民生服务,月度,捐助中心.捐款接收,深圳全市,2017-12-26,2017-12-26,14,98,完全开放
船舶营业运输证信息,道路交通,月度,船舶.营业.运输证,深圳全市,2017-12-26,2017-12-26,20,113,完全开放
广东省省级民办职业培训学校（院）名单,机构团体,不定时更新,省级民办职业培训学校（院）,广东省,2017-12-26,2017-12-26,48,171,完全开放
肇庆市重金属污染防控重点企业名单,资源环境,不定时更新,重金属污染防控，重点企业,肇庆市,2017-12-25,2018-01-01,8,127,完全开放
肇庆市化妆品生产许可证获证企业许可信息,卫生健康,不定时更新,化妆品生产许可证，企业,肇庆市,2017-12-25,2017-12-25,17,168,完全开放
肇庆市医疗器械批发企业名录,卫生健康,不定时更新,肇庆市医疗器械批发企业名录,肇庆市,2017-12-25,2017-12-25,19,152,完全开放
肇庆市保健食品生产企业名录,卫生健康,年度,保健食品生产企业，名录,肇庆市,2017-12-25,2017-12-25,15,142,完全开放
梅州市历史建筑名录,社会发展,年度,历史建筑；名录,梅州市,2017-12-22,2017-12-22,30,139,完全开放
特种设备单位名单,资源环境,年度,特种设备；单位名称,梅州市,2017-12-22,2017-12-22,98,179,完全开放
机动车排气检测机构,资源环境,年度,机动车；排气检测机构,梅州市,2017-12-22,2017-12-22,28,146,完全开放
国家重点监控企业,资源环境,年度,国家、重点企业,梅州市,2017-12-22,2017-12-22,43,130,完全开放
梅州市采标企业一览表,资源环境,年度,采标；企业,梅州市,2017-12-22,2017-12-22,30,114,完全开放
医疗器械经营备案名单,资源环境,年度,医疗器械；经营备案；名单,梅州市,2017-12-22,2017-12-22,86,116,完全开放
行政审批中介服务目录事项,民生服务,年度,行政审批；中介服务目录,梅州市,2017-12-22,2017-12-22,15,118,完全开放
医疗器械经营许可证发证名单,资源环境,年度,医疗器械；经营许可证；名单,梅州市,2017-12-22,2017-12-22,94,106,完全开放
广东省政府采购品目分类表,机构团体,年度,政府采购；品目,梅州市,2017-12-22,2017-12-22,25,107,完全开放
梅州市医疗卫生机构基本情况,卫生健康,年度,医疗卫生机构,梅州市,2017-12-22,2017-12-22,32,120,完全开放
梅州市直定点药店信息表,民生服务,年度,定点药店；信息,梅州市,2017-12-22,2017-12-22,12,96,完全开放
梅州市科学技术奖获奖名单,教育科技,年度,科学技术奖；名单,梅州市,2017-12-22,2017-12-22,129,103,完全开放
梅州市级非物质文化遗产代表作名录,文化休闲,不定时更新,非物质文化遗产；代表作,梅州市,2017-12-22,2017-12-22,82,91,完全开放
梅州市政府机构,机构团体,年度,政府机构；各机构职能；,梅州市,2017-12-22,2017-12-22,38,80,完全开放
社会组织名单,机构团体,年度,社会组织；名单,梅州市,2017-12-22,2017-12-22,29,76,完全开放
梅州市地方税务局年度纳税信用评价A级纳税人名单,机构团体,年度,纳税信用评价；A级纳税人名单,梅州市,2017-12-22,2017-12-22,18,62,完全开放
梅州市级非物质文化遗产项目代表性传承人名单,文化休闲,不定时更新,非物质文化遗产项目；代表性传承人,梅州市,2017-12-22,2017-12-22,31,80,完全开放
梅州市国家税务局税收收入统计表,经济建设,月度,税收；税收收入；梅州市国家税务局,梅州市,2017-12-22,2017-12-22,162,83,完全开放
梅州市文物保护单位名单,文化休闲,不定时更新,文物保护；文物类别；文物年代,梅州市,2017-12-22,2017-12-22,73,76,完全开放
企业所得税核定征收企业,经济建设,月度,企业所得税 核定征收,梅州市,2017-12-22,2017-12-22,20,83,完全开放
全市养老机构,民生服务,年度,全市.养老机构,深圳全市,2017-12-21,2017-12-27,21,114,完全开放
公积金缴存提取受理网点,民生服务,年度,公积金.缴存.提取.受理网点,深圳全市,2017-12-21,2017-12-21,16,117,完全开放
旅行社信息数据,民生服务,年度,旅行社.信息,深圳全市,2017-12-21,2017-12-21,25,187,完全开放
深圳市旅行社服务网点备案汇总一览表,民生服务,年度,旅行社.服务网点.备案汇总,深圳全市,2017-12-21,2017-12-21,25,331,完全开放
